Reconstruction Error,Anomaly
5.805773449969997,False
4.845324371271088,False
4.656351665579359,False
4.409048751474227,False
5.730698424009063,False
7.070594040725958,False
4.721199533117779,False
5.504013487150292,False
3.837276007602632,False
4.9766008921299605,False
6.725599707189392,False
5.142670206433343,False
4.658580895912465,False
3.7297938558119017,False
8.021132872536489,False
8.489878360456498,False
6.9776256425933125,False
5.806749177389087,False
7.606283988412187,False
6.22721169858553,False
6.405191765561064,False
6.094007291949491,False
4.930724436106063,False
5.651189046462061,False
5.262405593660434,False
5.095930778014693,False
5.532318600016965,False
6.0360198082685965,False
5.890885933731065,False
4.727163670320247,False
4.807956191436452,False
6.347001425798332,False
6.876541515850008,False
7.663625618507043,False
4.970849424251797,False
5.220777183248334,False
6.648022807174415,False
5.535770785211043,False
3.91512953036884,False
5.706403278351963,False
5.587348018039238,False
3.5119583973253263,False
4.1241637417510235,False
5.668727989455937,False
6.366195329509597,False
4.650949261620996,False
6.253279002537503,False
4.49217443898439,False
6.508133017383697,False
5.363789246652545,False
13.673239445661684,True
11.626032571521218,True
13.670609535355446,True
7.758636422072266,False
11.675838730276372,True
9.41822756869395,False
11.858384741324278,True
5.615341112020861,False
12.005564303174085,True
7.276485155008601,False
5.812774307241761,False
9.62634886148145,False
8.860112319668115,False
10.868220921380326,True
7.907519967539267,False
12.156074731712723,True
9.416028927990052,False
8.885092646377192,False
10.246143169465807,True
7.958026279103755,False
10.983543910862013,True
9.586259682210374,False
11.45082970937876,True
10.745433379546832,True
10.938365315092092,True
11.77096538068239,True
12.870605571990824,True
13.245761939002861,True
10.278459900463869,True
7.725243317448169,False
7.51557669271587,False
7.375170628152943,False
8.596007118763929,False
11.26585885859843,True
8.966076865879785,False
10.843831298277214,True
12.71072811529741,True
10.358281060274027,True
8.716201809857905,False
7.898576368953753,False
8.60311985343678,False
10.78324493782126,True
8.660785407514318,False
5.745328888889141,False
8.595898646558917,False
9.0932860454832,False
9.008432272025315,False
10.408333067316393,True
5.769835483949133,False
8.758493520601204,False
15.158184495080725,True
10.888650170677892,True
16.608080995393852,True
13.37571253010452,True
14.683230857921684,True
20.032880983902736,True
7.551755935779989,False
18.007912774645703,True
14.605686511859929,True
18.36547143400066,True
13.225870367522374,True
12.838406919717054,True
14.775746720308062,True
10.336397382577193,True
11.26384547970973,True
13.545904613124781,True
13.785684734122094,True
21.665277518818044,True
20.987902411815767,True
10.67345337956888,True
15.858164714077118,True
10.153851873965777,True
20.405367707036007,True
11.708545608478731,True
15.27063300403725,True
17.230432105444308,True
11.341082911616656,True
11.465997851282612,True
13.69334548790506,True
16.460423476986822,True
17.755485946799666,True
21.402782253464107,True
13.750877408219363,True
12.098182731555541,True
12.473024909361515,True
19.147990374757413,True
14.243279172989764,True
13.615679080779367,True
11.021072284277727,True
14.948238097120019,True
15.005774943824422,True
14.430903959835234,True
10.888650170677892,True
16.04562261635031,True
15.530707051364619,True
13.955936628513964,True
11.788639704038555,True
13.223381222383306,True
13.463358240512383,True
11.365953389949322,True
